size,array_type,algorithm,threshold,time
9600,reversed,hybrid,10,2075
9600,nearly_sorted,hybrid,10,2012
9600,random,hybrid,20,2540
9600,reversed,hybrid,20,2269
9600,nearly_sorted,hybrid,20,1812
9600,random,hybrid,30,2547
9600,reversed,hybrid,30,2150
9600,nearly_sorted,hybrid,30,1717
9600,random,hybrid,50,2616
9600,reversed,hybrid,50,2557
9600,nearly_sorted,hybrid,50,1625
9700,random,standard,0,4301
9700,reversed,standard,0,3293
9700,nearly_sorted,standard,0,3629
9700,random,hybrid,5,2939
9700,reversed,hybrid,5,2112
9700,nearly_sorted,hybrid,5,2272
9700,random,hybrid,10,2749
9700,reversed,hybrid,10,2074
9700,nearly_sorted,hybrid,10,2046
9700,random,hybrid,20,2524
9700,reversed,hybrid,20,2145
9700,nearly_sorted,hybrid,20,1761
9700,random,hybrid,30,2561
9700,reversed,hybrid,30,2330
9700,nearly_sorted,hybrid,30,1830
9700,random,hybrid,50,2712
9700,reversed,hybrid,50,2642
9700,nearly_sorted,hybrid,50,1649
9800,random,standard,0,4373
9800,reversed,standard,0,3374
9800,nearly_sorted,standard,0,3678
9800,random,hybrid,5,3002
9800,reversed,hybrid,5,2137
9800,nearly_sorted,hybrid,5,2227
9800,random,hybrid,10,2698
9800,reversed,hybrid,10,2064
9800,nearly_sorted,hybrid,10,1953
9800,random,hybrid,20,2567
9800,reversed,hybrid,20,2251
9800,nearly_sorted,hybrid,20,1845
9800,random,hybrid,30,2551
9800,reversed,hybrid,30,2173
9800,nearly_sorted,hybrid,30,1785
9800,random,hybrid,50,2631
9800,reversed,hybrid,50,2613
9800,nearly_sorted,hybrid,50,1637
9900,random,standard,0,4293
9900,reversed,standard,0,3584
9900,nearly_sorted,standard,0,3683
9900,random,hybrid,5,3070
9900,reversed,hybrid,5,2168
9900,nearly_sorted,hybrid,5,2240
9900,random,hybrid,10,2699
9900,reversed,hybrid,10,2099
9900,nearly_sorted,hybrid,10,2037
9900,random,hybrid,20,2579
9900,reversed,hybrid,20,2153
9900,nearly_sorted,hybrid,20,1764
9900,random,hybrid,30,2559
9900,reversed,hybrid,30,2151
9900,nearly_sorted,hybrid,30,1769
9900,random,hybrid,50,2649
9900,reversed,hybrid,50,2647
9900,nearly_sorted,hybrid,50,1633
10000,random,standard,0,4571
10000,reversed,standard,0,3431
10000,nearly_sorted,standard,0,3693
10000,random,hybrid,5,3057
10000,reversed,hybrid,5,2241
10000,nearly_sorted,hybrid,5,2399
10000,random,hybrid,10,2757
10000,reversed,hybrid,10,2165
10000,nearly_sorted,hybrid,10,2043
10000,random,hybrid,20,2678
10000,reversed,hybrid,20,2187
10000,nearly_sorted,hybrid,20,1844
10000,random,hybrid,30,2663
10000,reversed,hybrid,30,2245
10000,nearly_sorted,hybrid,30,1816
10000,random,hybrid,50,2692
10000,reversed,hybrid,50,2727
10000,nearly_sorted,hybrid,50,1704
