size,array_type,algorithm,threshold,time
2100,nearly_sorted,hybrid,20,319
2100,random,hybrid,30,469
2100,reversed,hybrid,30,435
2100,nearly_sorted,hybrid,30,338
2100,random,hybrid,50,508
2100,reversed,hybrid,50,519
2100,nearly_sorted,hybrid,50,303
2200,random,standard,0,908
2200,reversed,standard,0,709
2200,nearly_sorted,standard,0,767
2200,random,hybrid,5,603
2200,reversed,hybrid,5,436
2200,nearly_sorted,hybrid,5,459
2200,random,hybrid,10,533
2200,reversed,hybrid,10,413
2200,nearly_sorted,hybrid,10,394
2200,random,hybrid,20,518
2200,reversed,hybrid,20,480
2200,nearly_sorted,hybrid,20,390
2200,random,hybrid,30,551
2200,reversed,hybrid,30,452
2200,nearly_sorted,hybrid,30,393
2200,random,hybrid,50,627
2200,reversed,hybrid,50,700
2200,nearly_sorted,hybrid,50,409
2300,random,standard,0,1289
2300,reversed,standard,0,1051
2300,nearly_sorted,standard,0,1112
2300,random,hybrid,5,808
2300,reversed,hybrid,5,610
2300,nearly_sorted,hybrid,5,647
2300,random,hybrid,10,709
2300,reversed,hybrid,10,565
2300,nearly_sorted,hybrid,10,465
2300,random,hybrid,20,546
2300,reversed,hybrid,20,470
2300,nearly_sorted,hybrid,20,376
2300,random,hybrid,30,550
2300,reversed,hybrid,30,467
2300,nearly_sorted,hybrid,30,358
2300,random,hybrid,50,540
2300,reversed,hybrid,50,565
2300,nearly_sorted,hybrid,50,322
2400,random,standard,0,955
2400,reversed,standard,0,753
2400,nearly_sorted,standard,0,820
2400,random,hybrid,5,644
2400,reversed,hybrid,5,472
2400,nearly_sorted,hybrid,5,495
2400,random,hybrid,10,599
2400,reversed,hybrid,10,455
2400,nearly_sorted,hybrid,10,420
2400,random,hybrid,20,567
2400,reversed,hybrid,20,481
2400,nearly_sorted,hybrid,20,377
2400,random,hybrid,30,551
2400,reversed,hybrid,30,478
2400,nearly_sorted,hybrid,30,364
2400,random,hybrid,50,548
2400,reversed,hybrid,50,573
2400,nearly_sorted,hybrid,50,320
2500,random,standard,0,956
2500,reversed,standard,0,773
2500,nearly_sorted,standard,0,829
2500,random,hybrid,5,656
2500,reversed,hybrid,5,480
2500,nearly_sorted,hybrid,5,516
2500,random,hybrid,10,626
2500,reversed,hybrid,10,482
2500,nearly_sorted,hybrid,10,450
2500,random,hybrid,20,585
2500,reversed,hybrid,20,573
2500,nearly_sorted,hybrid,20,425
2500,random,hybrid,30,614
2500,reversed,hybrid,30,557
2500,nearly_sorted,hybrid,30,389
2500,random,hybrid,50,589
2500,reversed,hybrid,50,642
2500,nearly_sorted,hybrid,50,349
2600,random,standard,0,1339
2600,reversed,standard,0,1116
2600,nearly_sorted,standard,0,916
2600,random,hybrid,5,690
2600,reversed,hybrid,5,504
2600,nearly_sorted,hybrid,5,515
2600,random,hybrid,10,619
2600,reversed,hybrid,10,490
2600,nearly_sorted,hybrid,10,468
2600,random,hybrid,20,631
2600,reversed,hybrid,20,563
2600,nearly_sorted,hybrid,20,429
2600,random,hybrid,30,624
2600,reversed,hybrid,30,554
2600,nearly_sorted,hybrid,30,410
2600,random,hybrid,50,642
2600,reversed,hybrid,50,686
2600,nearly_sorted,hybrid,50,380
2700,random,standard,0,1292
2700,reversed,standard,0,965
2700,nearly_sorted,standard,0,940
2700,random,hybrid,5,715
2700,reversed,hybrid,5,537
2700,nearly_sorted,hybrid,5,552
2700,random,hybrid,10,670
2700,reversed,hybrid,10,542
2700,nearly_sorted,hybrid,10,538
2700,random,hybrid,20,631
2700,reversed,hybrid,20,567
2700,nearly_sorted,hybrid,20,439
2700,random,hybrid,30,646
2700,reversed,hybrid,30,575
2700,nearly_sorted,hybrid,30,438
2700,random,hybrid,50,695
2700,reversed,hybrid,50,808
2700,nearly_sorted,hybrid,50,383
2800,random,standard,0,1207
2800,reversed,standard,0,1090
2800,nearly_sorted,standard,0,964
2800,random,hybrid,5,784
2800,reversed,hybrid,5,572
2800,nearly_sorted,hybrid,5,627
2800,random,hybrid,10,692
2800,reversed,hybrid,10,571
2800,nearly_sorted,hybrid,10,544
2800,random,hybrid,20,723
2800,reversed,hybrid,20,600
2800,nearly_sorted,hybrid,20,567
2800,random,hybrid,30,725
2800,reversed,hybrid,30,718
2800,nearly_sorted,hybrid,30,516
2800,random,hybrid,50,846
2800,reversed,hybrid,50,935
2800,nearly_sorted,hybrid,50,489
2900,random,standard,0,1506
2900,reversed,standard,0,1099
2900,nearly_sorted,standard,0,1213
2900,random,hybrid,5,822
2900,reversed,hybrid,5,603
2900,nearly_sorted,hybrid,5,627
2900,random,hybrid,10,780
2900,reversed,hybrid,10,635
2900,nearly_sorted,hybrid,10,556
2900,random,hybrid,20,775
2900,reversed,hybrid,20,587
2900,nearly_sorted,hybrid,20,540
2900,random,hybrid,30,732
2900,reversed,hybrid,30,681
2900,nearly_sorted,hybrid,30,513
2900,random,hybrid,50,814
2900,reversed,hybrid,50,836
2900,nearly_sorted,hybrid,50,415
3000,random,standard,0,1385
3000,reversed,standard,0,985
3000,nearly_sorted,standard,0,1030
3000,random,hybrid,5,793
3000,reversed,hybrid,5,583
3000,nearly_sorted,hybrid,5,605
3000,random,hybrid,10,808
3000,reversed,hybrid,10,663
3000,nearly_sorted,hybrid,10,603
3000,random,hybrid,20,784
3000,reversed,hybrid,20,594
3000,nearly_sorted,hybrid,20,579
3000,random,hybrid,30,724
3000,reversed,hybrid,30,686
3000,nearly_sorted,hybrid,30,474
3000,random,hybrid,50,774
3000,reversed,hybrid,50,855
3000,nearly_sorted,hybrid,50,429
3100,random,standard,0,1291
3100,reversed,standard,0,1034
3100,nearly_sorted,standard,0,1244
3100,random,hybrid,5,946
3100,reversed,hybrid,5,752
3100,nearly_sorted,hybrid,5,779
3100,random,hybrid,10,971
3100,reversed,hybrid,10,748
3100,nearly_sorted,hybrid,10,741
3100,random,hybrid,20,824
3100,reversed,hybrid,20,709
3100,nearly_sorted,hybrid,20,623
3100,random,hybrid,30,818
3100,reversed,hybrid,30,776
3100,nearly_sorted,hybrid,30,545
3100,random,hybrid,50,930
3100,reversed,hybrid,50,1055
3100,nearly_sorted,hybrid,50,515
3200,random,standard,0,1465
3200,reversed,standard,0,1301
3200,nearly_sorted,standard,0,1371
3200,random,hybrid,5,953
3200,reversed,hybrid,5,745
3200,nearly_sorted,hybrid,5,762
3200,random,hybrid,10,880
3200,reversed,hybrid,10,682
3200,nearly_sorted,hybrid,10,687
3200,random,hybrid,20,789
3200,reversed,hybrid,20,705
3200,nearly_sorted,hybrid,20,573
3200,random,hybrid,30,774
3200,reversed,hybrid,30,762
3200,nearly_sorted,hybrid,30,496
3200,random,hybrid,50,828
3200,reversed,hybrid,50,962
3200,nearly_sorted,hybrid,50,504
3300,random,standard,0,1442
3300,reversed,standard,0,1151
3300,nearly_sorted,standard,0,1168
3300,random,hybrid,5,944
3300,reversed,hybrid,5,732
3300,nearly_sorted,hybrid,5,744
3300,random,hybrid,10,929
3300,reversed,hybrid,10,644
3300,nearly_sorted,hybrid,10,683
3300,random,hybrid,20,818
3300,reversed,hybrid,20,657
3300,nearly_sorted,hybrid,20,575
3300,random,hybrid,30,811
3300,reversed,hybrid,30,743
3300,nearly_sorted,hybrid,30,515
3300,random,hybrid,50,838
3300,reversed,hybrid,50,853
3300,nearly_sorted,hybrid,50,500
3400,random,standard,0,1392
3400,reversed,standard,0,1118
3400,nearly_sorted,standard,0,1230
3400,random,hybrid,5,1003
3400,reversed,hybrid,5,865
3400,nearly_sorted,hybrid,5,850
3400,random,hybrid,10,978
3400,reversed,hybrid,10,754
3400,nearly_sorted,hybrid,10,802
